image_id,dr7objid,vote_fraction_smooth,vote_weighted_smooth,vote_debiased_smooth
11,587722981741756545,0.800000011920929,0.800000011920929,0.4199999868869781
100,587722981748113567,0.7020000219345093,0.6959999799728394,0.0219999998807907
101,587722981748179130,0.875,0.875,0.135000005364418
102,587722981748375756,0.7139999866485596,0.7429999709129333,0.025000000372529
103,587722981748375801,0.7739999890327454,0.7839999794960022,0.6940000057220459
105,587722981748572353,0.9319999814033508,0.953000009059906,0.9169999957084656
106,587722981748637919,0.0260000005364418,0.0260000005364418,0.0
107,587722981748703283,0.8980000019073486,0.915000021457672,0.8799999952316284
108,587722981748703487,0.949999988079071,0.949999988079071,0.8479999899864197
109,587722981748703506,0.7910000085830688,0.8059999942779541,0.1089999973773956
110,587722981748768912,0.652999997138977,0.652999997138977,0.0469999983906745
112,587722981748768945,0.8700000047683716,0.8870000243186951,0.8450000286102295
114,587722981748834455,0.2049999982118606,0.2080000042915344,0.1879999935626983
115,587722981748834475,0.7179999947547913,0.7120000123977661,0.0680000036954879
1000,587722983355384011,1.0,1.0,1.0
1001,587722983355514897,0.3120000064373016,0.3120000064373016,0.0230000000447034
1002,587722983355514966,0.2560000121593475,0.270000010728836,0.0
1003,587722983355515025,0.7630000114440918,0.7829999923706055,0.1500000059604644
1004,587722983355515068,0.9200000166893004,0.9200000166893004,0.878000020980835
1005,587722983355777142,0.8410000205039978,0.8379999995231628,0.7799999713897705
1006,587722983355777191,0.9319999814033508,0.9319999814033508,0.7730000019073486
1007,587722983355777200,0.4519999921321869,0.4539999961853027,0.0480000004172325
1008,587722983355777219,0.9520000219345092,0.9520000219345092,0.8489999771118164
1009,587722983355842686,0.0309999994933605,0.032999999821186,0.0
1010,587722983355842722,0.9020000100135804,0.9020000100135804,0.8360000252723694
1011,587722983355842732,0.871999979019165,0.890999972820282,0.3149999976158142
1012,587722983355842756,0.4860000014305115,0.4860000014305115,0.0130000002682209
1013,587722983355842807,0.9089999794960022,0.9390000104904176,0.8579999804496765
1014,587722983355842825,0.4839999973773956,0.4860000014305115,0.0240000002086162
1015,587722983355908138,0.6830000281333923,0.6949999928474426,0.0439999997615814
1016,587722983355908235,0.9290000200271606,0.9290000200271606,0.871999979019165
1017,587722983355908291,0.5680000185966492,0.5680000185966492,0.0
1018,587722983355908300,0.7749999761581421,0.7689999938011169,0.0570000000298023
